Column1;duration;id;index;location;match_id;minute;off_camera;pass_aerial_won;pass_angle;pass_assisted_shot_id;pass_body_part;pass_cross;pass_end_location;pass_goal_assist;pass_height;pass_inswinging;pass_length;pass_no_touch;pass_outcome;pass_outswinging;pass_recipient;pass_shot_assist;pass_switch;pass_technique;pass_type;period;play_pattern;player;player_id;position;possession;possession_team;possession_team_id;related_events;second;team;team_id;timestamp;type;under_pressure;x;y;pass_end_x;pass_end_y
87;0,004213;d8e23ad4-5aec-4690-b7dc-a12b41c407e5;291;[21.5, 49.0];3893818;9;;;0,52807444;;Right Foot;;[22.7, 49.7];;Low Pass;;1,3892444;;Incomplete;;;;;;;1;From Throw In;Carolina Arias Vidal;403283;Right Back;13;Germany Women's;857;['b0e363ec-419c-4fc2-8c9d-16a2f6b61229'];19;Colombia Women's;16802;12:09:19 a. m.;Pass;;21,5;49;22,7;49,7
89;1,907088;50decf45-a344-43f5-af1b-f40085bde973;298;[10.5, 40.9];3893818;9;;;-0,82042426;;Head;;[28.4, 21.7];;Low Pass;;26,249762;;;;Linda Lizeth Caicedo Alegría;;;;Recovery;1;From Throw In;Manuela Vanegas Cataño;49945;Left Back;13;Germany Women's;857;['399fafc1-7e9f-4d55-9253-ee809e1d1b75', '74d1b428-1863-4273-946b-223acf5a03da'];28;Colombia Women's;16802;12:09:29 a. m.;Pass;;10,5;40,9;28,4;21,7
96;3,422693;dd0cf2f9-3dd8-4f7c-ad6e-1cc04fe14a0f;331;[15.8, 37.0];3893818;10;;;0,02526538;;Drop Kick;;[71.2, 38.4];;High Pass;;55,417686;;;;María Catalina Usme Pineda;;;;;1;From Throw In;Catalina Pérez Jaramillo;46344;Goalkeeper;13;Germany Women's;857;['7914611a-59d2-4fb8-b03e-ffa70495f4c6'];15;Colombia Women's;16802;12:10:15 a. m.;Pass;;15,8;37;71,2;38,4
99;1,222186;fafdf362-ba96-45e4-9772-8465965d40ee;341;[49.0, 71.0];3893818;10;;;0,07553171;;Head;;[67.5, 72.4];;High Pass;;18,552896;;Incomplete;;Lady Patricia Andrade Rodríguez;;;;Recovery;1;From Throw In;Carolina Arias Vidal;403283;Right Back;13;Germany Women's;857;['3f22ab47-8598-453f-b422-ad0142bb276c', 'c45c302a-2264-43e5-ad7b-ef8bc1242127', 'e25f9116-048e-46a1-baf6-7c71a3d1422a'];25;Colombia Women's;16802;12:10:26 a. m.;Pass;;49;71;67,5;72,4
111;1,795967;82852b02-3caf-4061-bcae-e6d917f05378;384;[55.0, 16.3];3893818;10;;;-1,8458977;;Right Foot;;[51.5, 3.9];;Ground Pass;;12,884487;;;;Manuela Vanegas Cataño;;;;;1;Regular Play;Linda Lizeth Caicedo Alegría;386339;Left Wing;14;Colombia Women's;16802;['c3e5d814-120e-40a3-94a0-7cbb800a2e68'];55;Colombia Women's;16802;12:10:55 a. m.;Pass;;55;16,3;51,5;3,9
112;0,707943;61ec3d44-8f44-4374-bb55-4e523c141d1e;387;[52.5, 3.9];3893818;11;;;1,5707964;;Left Foot;;[52.5, 18.4];;Ground Pass;;14,5;;;;Linda Lizeth Caicedo Alegría;;;;;1;Regular Play;Manuela Vanegas Cataño;49945;Left Back;14;Colombia Women's;16802;['6737e9f3-f58b-47c9-a822-62a1d1b6e3b5'];0;Colombia Women's;16802;12:11:01 a. m.;Pass;;52,5;3,9;52,5;18,4
113;0,708061;78b49166-7084-4d84-9764-9196e2c93e10;391;[53.6, 16.0];3893818;11;;;-2,6740692;;Right Foot;;[43.3, 10.8];;Ground Pass;;11,5381975;;;;Daniela Montoya Quiróz;;;;;1;Regular Play;Linda Lizeth Caicedo Alegría;386339;Left Wing;14;Colombia Women's;16802;['92297250-aaa4-4068-8c79-96b13744f349', '9d2680e8-a39f-4fe1-97eb-8d2ee813805c'];2;Colombia Women's;16802;12:11:03 a. m.;Pass;VERDADERO;53,6;16;43,3;10,8
114;0,451362;5c8fafcd-fd7c-4eab-b13c-8bf3655efc06;395;[44.2, 7.1];3893818;11;;;-0,9017533;;Right Foot;;[47.6, 2.8];;Ground Pass;;5,481788;;;;Linda Lizeth Caicedo Alegría;;;;;1;Regular Play;Daniela Montoya Quiróz;403282;Left Defensive Midfield;14;Colombia Women's;16802;['1e1e46ff-d7c0-432a-aae3-c4c6438d73c5'];5;Colombia Women's;16802;12:11:06 a. m.;Pass;;44,2;7,1;47,6;2,8
115;0,435762;bf4ff325-1b37-44f5-b73f-d9cd82ca0c0c;399;[46.0, 1.4];3893818;11;;;-0,16109191;;Right Foot;;[54.0, 0.1];;Ground Pass;;8,104937;;Out;;Manuela Vanegas Cataño;;;;;1;Regular Play;Linda Lizeth Caicedo Alegría;386339;Left Wing;14;Colombia Women's;16802;['31ab36ef-2033-4f62-ba78-209eb0717cb6', '7145f37f-1157-474e-ad50-27feabf73337'];6;Colombia Women's;16802;12:11:06 a. m.;Pass;VERDADERO;46;1,4;54;0,1
121;3,471001;426e80e3-add4-4b51-a87e-aa1552b43055;426;[6.0, 36.0];3893818;13;;;0,5708737;;Right Foot;;[60.5, 71.0];;High Pass;;64,77075;;Incomplete;;María Catalina Usme Pineda;;;;Goal Kick;1;From Goal Kick;Catalina Pérez Jaramillo;46344;Goalkeeper;18;Colombia Women's;16802;['297e3b08-c081-4739-a318-2b22160fda22', 'fc69e2ce-87ac-45d1-82ef-c29a117a4a0e'];10;Colombia Women's;16802;12:13:11 a. m.;Pass;;6;36;60,5;71
123;1,730069;9858e3d6-1e78-48ed-9262-fdaff2c4a203;430;[53.6, 61.8];3893818;13;;;1,3748152;;Right Foot;;[56.3, 75.4];;Low Pass;;13,865424;;;;María Catalina Usme Pineda;;;;Recovery;1;From Goal Kick;Lorena Bedoya Durango;49904;Right Defensive Midfield;18;Colombia Women's;16802;['ed0822e9-f786-4cf7-aee3-bdfaca8f265d', 'fc69e2ce-87ac-45d1-82ef-c29a117a4a0e'];15;Colombia Women's;16802;12:13:15 a. m.;Pass;;53,6;61,8;56,3;75,4
124;0,318919;2441eb08-0bc1-41bd-81b6-3dfb95c247bc;435;[57.5, 74.6];3893818;13;;;3,1415927;;Left Foot;;[54.5, 74.6];;Ground Pass;;3;;;;Carolina Arias Vidal;;;;;1;From Goal Kick;María Catalina Usme Pineda;403278;Center Attacking Midfield;18;Colombia Women's;16802;['24d507df-035f-43cb-b380-f8f7e0e1bf30', 'b335606d-a14b-4861-92fa-ec1457a70e27'];20;Colombia Women's;16802;12:13:21 a. m.;Pass;VERDADERO;57,5;74,6;54,5;74,6
135;0,871342;cbb0f341-5e6e-4ded-aa8c-c1abac763257;473;[73.2, 60.9];3893818;13;;;-0,6461189;;Right Foot;;[85.4, 51.7];;Low Pass;;15,280052;;Incomplete;;Lady Patricia Andrade Rodríguez;;;;Recovery;1;From Throw In;Carolina Arias Vidal;403283;Right Back;19;Germany Women's;857;['32959aca-15a7-4b3c-baff-949fbbc983b0', 'fcfbc571-4889-4871-a08a-0a64afe9ff52'];57;Colombia Women's;16802;12:13:57 a. m.;Pass;;73,2;60,9;85,4;51,7
149;1,219297;1d182b6a-3e03-40d6-a33f-fbe464f061ad;525;[16.7, 14.1];3893818;16;;;-1,388628;;Left Foot;;[18.8, 2.7];;Ground Pass;;11,591807;;;;Manuela Vanegas Cataño;;;;Recovery;1;Regular Play;Daniela Alexandra Árias Rojas;403277;Left Center Back;24;Colombia Women's;16802;['50946053-7ebb-4aa0-b8d3-6c1db71bc2ea', 'da242801-7442-48eb-a95a-088393d9a4a8'];45;Colombia Women's;16802;12:16:46 a. m.;Pass;;16,7;14,1;18,8;2,7
150;1,540611;8e4f3293-7232-4870-9e6b-f6bd6833b7b6;528;[19.2, 2.3];3893818;16;;;0,6623668;;Left Foot;;[40.1, 18.6];;High Pass;;26,504717;;Incomplete;;María Catalina Usme Pineda;;;;;1;Regular Play;Manuela Vanegas Cataño;49945;Left Back;24;Colombia Women's;16802;['50b8392e-facd-4202-903b-73d57322eb68', 'd4b2e407-c4ec-4e4f-8f7e-05419787ef1c'];48;Colombia Women's;16802;12:16:48 a. m.;Pass;;19,2;2,3;40,1;18,6
151;0,132164;584925dc-8d42-4997-b6bd-7b549032584e;532;[30.9, 13.3];3893818;16;;;-0,7328151;;Left Foot;;[31.9, 12.4];;Ground Pass;;1,3453624;;Incomplete;;;;;;Recovery;1;Regular Play;Daniela Montoya Quiróz;403282;Left Defensive Midfield;24;Colombia Women's;16802;['5dd57e89-79a5-4727-b116-73d18b8b68bc', '88dea272-da59-490a-a787-5719f05bd471'];51;Colombia Women's;16802;12:16:51 a. m.;Pass;VERDADERO;30,9;13,3;31,9;12,4
153;1,946984;cf80058e-ecc1-40eb-ab4c-68b03251db6a;538;[37.2, 4.9];3893818;16;;;-2,836145;;Right Foot;;[26.1, 1.4];;Ground Pass;;11,638728;;;;Manuela Vanegas Cataño;;;;Interception;1;Regular Play;Linda Lizeth Caicedo Alegría;386339;Left Wing;24;Colombia Women's;16802;['638dd684-d2c9-4e3c-b8c9-a01eaac62a96', 'ff76da5d-5714-4153-a01c-3d1dcccd5f42'];55;Colombia Women's;16802;12:16:55 a. m.;Pass;;37,2;4,9;26,1;1,4
154;2,091133;846ab1b8-fad5-4610-98ce-430268acfaa9;545;[25.0, 10.6];3893818;17;VERDADERO;;0,10931853;;Left Foot;;[66.0, 15.1];;High Pass;;41,246212;;Unknown;;Mayra Tatiana Ramírez Ramírez;;;;;1;Other;Manuela Vanegas Cataño;49945;Left Back;27;Germany Women's;857;['980dfabe-443b-43c9-adf4-6cee039cd3fb'];33;Colombia Women's;16802;12:17:33 a. m.;Pass;;25;10,6;66;15,1
